gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022201159,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (10:12 PM EST),period,start,0,0,1
0022201159,4,PT12M00.00S,1,1610612757,POR,1629234,Eubanks,D. Eubanks,0,0,0,,0,,,0,h,Jump Ball Eubanks vs. Sabonis: Tip to Watford,Jump Ball,,1,0,2
0022201159,7,PT11M37.00S,1,1610612757,POR,1629234,Eubanks,D. Eubanks,0,0,0,,0,,,0,h,Eubanks Out of Bounds Lost Ball Turnover (P1.T1),Turnover,Out of Bounds Lost Ball Turnover,1,0,3
0022201159,8,PT11M16.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,11,-7,1,Made,1,0,2,2,v,Sabonis 1' Alley Oop Layup (2 PTS) (Murray 1 AST),Made Shot,Alley Oop Layup shot,1,2,4
0022201159,10,PT10M51.00S,1,1610612757,POR,1630219,Mays,S. Mays,107,226,25,Made,1,3,2,5,h,Mays 25' 3PT Jump Shot (3 PTS) (Watford 1 AST),Made Shot,Jump Shot,1,3,5
0022201159,12,PT10M37.00S,1,1610612758,SAC,1628368,Fox,D. Fox,22,13,3,Missed,1,,,0,v,MISS Fox 3' Floating Jump Shot,Missed Shot,Floating Jump shot,1,2,6
0022201159,12,PT10M37.00S,1,1610612757,POR,1629680,Thybulle,M. Thybulle,0,0,0,,0,,,0,h,Thybulle BLOCK (1 BLK),,,1,2,7
0022201159,14,PT10M35.00S,1,1610612757,POR,1631101,Sharpe,S. Sharpe,0,0,0,,0,,,0,h,Sharpe REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,8
0022201159,15,PT10M34.00S,1,1610612757,POR,1630570,Watford,T. Watford,0,0,0,,0,,,0,h,Watford Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,1,0,9
0022201159,16,PT10M28.00S,1,1610612758,SAC,1628989,Huerter,K. Huerter,-222,115,25,Missed,1,,,0,v,MISS Huerter 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,10
0022201159,17,PT10M25.00S,1,1610612757,POR,1629680,Thybulle,M. Thybulle,0,0,0,,0,,,0,h,Thybulle REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,11
0022201159,18,PT10M17.00S,1,1610612757,POR,1631101,Sharpe,S. Sharpe,18,207,21,Missed,1,,,0,h,MISS Sharpe 21' Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,2,12
0022201159,19,PT10M16.00S,1,1610612758,SAC,1628368,Fox,D. Fox,0,0,0,,0,,,0,v,Fox REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,13
0022201159,20,PT10M13.00S,1,1610612757,POR,1631101,Sharpe,S. Sharpe,0,0,0,,0,,,0,h,Sharpe S.FOUL (P1.T1) (K.Cutler),Foul,Shooting,1,0,14
0022201159,22,PT10M13.00S,1,1610612758,SAC,1628368,Fox,D. Fox,0,0,0,,0,3,3,6,v,Fox Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,15
0022201159,23,PT10M13.00S,1,1610612758,SAC,1628368,Fox,D. Fox,0,0,0,,0,3,4,7,v,Fox Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,16
0022201159,24,PT10M02.00S,1,1610612757,POR,1631101,Sharpe,S. Sharpe,-180,137,23,Made,1,5,4,9,h,Sharpe 23' Pullup Jump Shot (2 PTS) (Mays 1 AST),Made Shot,Pullup Jump shot,1,2,17
0022201159,26,PT09M48.00S,1,1610612758,SAC,1628989,Huerter,K. Huerter,0,0,0,,0,,,0,v,Huerter Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,18
0022201159,26,PT09M48.00S,1,1610612757,POR,1629234,Eubanks,D. Eubanks,0,0,0,,0,,,0,h,Eubanks STEAL (1 STL),,,1,0,19
0022201159,28,PT09M45.00S,1,1610612758,SAC,1628368,Fox,D. Fox,0,0,0,,0,,,0,v,Fox S.FOUL (P1.T1) (K.Cutler),Foul,Shooting,1,0,20
0022201159,30,PT09M45.00S,1,1610612757,POR,1629680,Thybulle,M. Thybulle,0,0,0,,0,6,4,10,h,Thybulle Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,21
0022201159,31,PT09M45.00S,1,1610612757,POR,1629680,Thybulle,M. Thybulle,0,0,0,,0,7,4,11,h,Thybulle Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,22
0022201159,32,PT09M24.00S,1,1610612758,SAC,203084,Barnes,H. Barnes,-20,0,2,Missed,1,,,0,v,MISS Barnes 2' Driving Layup,Missed Shot,Driving Layup Shot,1,2,23
0022201159,33,PT09M21.00S,1,1610612758,SAC,203084,Barnes,H. Barnes,0,0,0,,0,,,0,v,Barnes REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,24
0022201159,34,PT09M21.00S,1,1610612758,SAC,203084,Barnes,H. Barnes,0,0,0,Made,1,7,6,13,v,Barnes Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,1,2,25
0022201159,35,PT09M05.00S,1,1610612757,POR,1631101,Sharpe,S. Sharpe,0,0,0,,0,,,0,h,Sharpe Bad Pass Turnover (P1.T3),Turnover,Bad Pass,1,0,26
0022201159,35,PT09M05.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,0,0,0,,0,,,0,v,Sabonis STEAL (1 STL),,,1,0,27
0022201159,37,PT09M00.00S,1,1610612758,SAC,203084,Barnes,H. Barnes,237,34,24,Missed,1,,,0,v,MISS Barnes 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,1,3,28
0022201159,38,PT08M58.00S,1,1610612758,SAC,1631099,Murray,K. Murray,0,0,0,,0,,,0,v,Murray REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,29
0022201159,39,PT08M56.00S,1,1610612758,SAC,1631099,Murray,K. Murray,66,43,8,Made,1,7,8,15,v,Murray 8' Jump Bank Shot (2 PTS),Made Shot,Jump Bank Shot,1,2,30
0022201159,40,PT08M46.00S,1,1610612757,POR,1630570,Watford,T. Watford,-124,247,28,Missed,1,,,0,h,MISS Watford 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,31
0022201159,41,PT08M46.00S,1,0,,1610612758,,,0,0,0,,0,,,0,v,Kings Rebound,Rebound,Unknown,1,0,32
0022201159,43,PT08M37.00S,1,1610612758,SAC,1631099,Murray,K. Murray,4,29,3,Made,1,7,10,17,v,Murray 3' Driving Layup (4 PTS) (Fox 1 AST),Made Shot,Driving Layup Shot,1,2,33
0022201159,44,PT08M25.00S,1,1610612757,POR,1629680,Thybulle,M. Thybulle,-173,201,27,Made,1,10,10,20,h,Thybulle 27' 3PT Jump Shot (5 PTS) (Sharpe 1 AST),Made Shot,Jump Shot,1,3,34
0022201159,46,PT08M10.00S,1,1610612757,POR,1629234,Eubanks,D. Eubanks,0,0,0,,0,,,0,h,Eubanks S.FOUL (P1.T2) (L.Holtkamp),Foul,Shooting,1,0,35
0022201159,48,PT08M10.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,0,0,0,,0,10,11,21,v,Sabonis Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,1,0,36
0022201159,49,PT08M10.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,0,0,0,,0,10,12,22,v,Sabonis Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,1,0,37
0022201159,51,PT07M54.00S,1,1610612757,POR,1630219,Mays,S. Mays,-229,1,0,Missed,1,,,0,h,MISS Mays 3PT Jump Shot,Missed Shot,Jump Shot,1,3,38
