gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022200902,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (10:41 PM EST),period,start,0,0,1
0022200902,4,PT12M00.00S,1,1610612746,LAC,203486,Plumlee,M. Plumlee,0,0,0,,0,,,0,h,Jump Ball Plumlee vs. Sabonis: Tip to Morris Sr.,Jump Ball,,1,0,2
0022200902,7,PT11M41.00S,1,1610612746,LAC,202694,Morris Sr.,M. Morris Sr.,-44,105,11,Missed,1,,,0,h,MISS Morris Sr. 11' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,3
0022200902,8,PT11M38.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,0,0,0,,0,,,0,v,Sabonis REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,4
0022200902,10,PT11M17.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,-27,55,6,Made,1,0,2,2,v,Sabonis 6' Driving Hook Shot (2 PTS),Made Shot,Driving Hook Shot,1,2,5
0022200902,11,PT11M05.00S,1,1610612758,SAC,1631099,Murray,K. Murray,0,0,0,,0,,,0,v,Murray S.FOUL (P1.T1) (N.Sago),Foul,Shooting,1,0,6
0022200902,13,PT11M05.00S,1,1610612746,LAC,201566,Westbrook,R. Westbrook,0,0,0,,0,1,2,3,h,Westbrook Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,7
0022200902,14,PT11M05.00S,1,1610612746,LAC,201566,Westbrook,R. Westbrook,0,0,0,,0,2,2,4,h,Westbrook Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,8
0022200902,15,PT10M55.00S,1,1610612758,SAC,1628989,Huerter,K. Huerter,-238,47,24,Made,1,2,5,7,v,Huerter 24' 3PT Step Back Jump Shot (3 PTS) (Fox 1 AST),Made Shot,Step Back Jump shot,1,3,9
0022200902,17,PT10M37.00S,1,1610612746,LAC,202694,Morris Sr.,M. Morris Sr.,-232,5,0,Missed,1,,,0,h,MISS Morris Sr. 3PT Jump Shot,Missed Shot,Jump Shot,1,3,10
0022200902,18,PT10M33.00S,1,1610612746,LAC,203486,Plumlee,M. Plumlee,0,0,0,,0,,,0,h,Plumlee REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,11
0022200902,19,PT10M32.00S,1,1610612746,LAC,203486,Plumlee,M. Plumlee,0,0,0,,0,,,0,h,Plumlee Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,12
0022200902,19,PT10M32.00S,1,1610612758,SAC,1628989,Huerter,K. Huerter,0,0,0,,0,,,0,v,Huerter STEAL (1 STL),,,1,0,13
0022200902,21,PT10M26.00S,1,1610612758,SAC,1631099,Murray,K. Murray,115,241,27,Made,1,2,8,10,v,Murray 27' 3PT Running Pull-Up Jump Shot (3 PTS) (Huerter 1 AST),Made Shot,Running Pull-Up Jump Shot,1,3,14
0022200902,23,PT10M21.00S,1,1610612746,LAC,202695,Leonard,K. Leonard,-234,0,0,Made,1,5,8,13,h,Leonard 3PT Jump Shot (3 PTS) (Morris Sr. 1 AST),Made Shot,Jump Shot,1,3,15
0022200902,25,PT10M11.00S,1,1610612758,SAC,1628368,Fox,D. Fox,-206,186,28,Made,1,5,11,16,v,Fox 28' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,1,3,16
0022200902,26,PT09M57.00S,1,1610612746,LAC,203486,Plumlee,M. Plumlee,27,20,3,Made,1,7,11,18,h,Plumlee 3' Reverse Layup (2 PTS) (Westbrook 1 AST),Made Shot,Reverse Layup Shot,1,2,17
0022200902,28,PT09M57.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,0,0,0,,0,,,0,v,Sabonis S.FOUL (P1.T2) (J.Goldenberg),Foul,Shooting,1,0,18
0022200902,30,PT09M57.00S,1,1610612746,LAC,203486,Plumlee,M. Plumlee,0,0,0,,0,8,11,19,h,Plumlee Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,1,0,19
0022200902,31,PT09M48.00S,1,1610612746,LAC,202331,George,P. George,0,0,0,,0,,,0,h,George S.FOUL (P1.T1) (T.Brothers),Foul,Shooting,1,0,20
0022200902,33,PT09M48.00S,1,1610612758,SAC,1628368,Fox,D. Fox,0,0,0,,0,8,12,20,v,Fox Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,1,0,21
0022200902,34,PT09M48.00S,1,1610612758,SAC,1628368,Fox,D. Fox,0,0,0,,0,8,13,21,v,Fox Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,1,0,22
0022200902,35,PT09M31.00S,1,1610612758,SAC,1628989,Huerter,K. Huerter,0,0,0,,0,,,0,v,Huerter P.FOUL (P1.T3) (J.Goldenberg),Foul,Personal,1,0,23
0022200902,37,PT09M20.00S,1,1610612746,LAC,202695,Leonard,K. Leonard,121,0,12,Made,1,10,13,23,h,Leonard 12' Fadeaway Jumper (5 PTS),Made Shot,Fadeaway Jump Shot,1,2,24
0022200902,39,PT08M56.00S,1,1610612758,SAC,1628368,Fox,D. Fox,152,118,19,Made,1,10,15,25,v,Fox 19' Step Back Jump Shot (7 PTS),Made Shot,Step Back Jump shot,1,2,25
0022200902,40,PT08M40.00S,1,1610612746,LAC,202331,George,P. George,85,292,30,Made,1,13,15,28,h,George 30' 3PT Jump Shot (3 PTS) (Plumlee 1 AST),Made Shot,Jump Shot,1,3,26
0022200902,42,PT08M30.00S,1,1610612758,SAC,1631099,Murray,K. Murray,37,28,5,Missed,1,,,0,v,MISS Murray 5' Driving Layup,Missed Shot,Driving Layup Shot,1,2,27
0022200902,43,PT08M28.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,0,0,0,,0,,,0,v,Sabonis REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,28
