gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
22200768,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (10:08 PM EST),period,start,0,0,1
22200768,4,PT12M00.00S,1,1610612743,DEN,203999,Jokić,N. Jokić,0,0,0,,0,0,0,0,h,Jump Ball Jokic vs. Valanciunas: Tip to Ingram,Jump Ball,,1,0,2
22200768,7,PT11M42.00S,1,1610612740,NOP,202685,Valančiūnas,J. Valančiūnas,-40,18,4,Made,1,0,2,2,v,Valanciunas 4' Layup (2 PTS) (Jones 1 AST),Made Shot,Layup Shot,1,2,3
22200768,9,PT11M26.00S,1,1610612743,DEN,203484,Caldwell-Pope,K. Caldwell-Pope,-107,237,26,Missed,1,0,2,2,h,MISS Caldwell-Pope 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,4
22200768,10,PT11M24.00S,1,1610612740,NOP,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,0,2,2,v,Valanciunas REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,5
22200768,11,PT11M09.00S,1,1610612740,NOP,202685,Valančiūnas,J. Valančiūnas,13,162,16,Missed,1,0,2,2,v,MISS Valanciunas 16' Jump Shot,Missed Shot,Jump Shot,1,2,6
22200768,12,PT11M06.00S,1,1610612743,DEN,203999,Jokić,N. Jokić,0,0,0,,0,0,2,2,h,Jokic REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,7
22200768,13,PT10M52.00S,1,1610612743,DEN,1629008,Porter Jr.,M. Porter Jr.,-44,26,5,Missed,1,0,2,2,h,MISS Porter Jr. 5' Jump Bank Shot,Missed Shot,Jump Bank Shot,1,2,8
22200768,14,PT10M51.00S,1,1610612743,DEN,1629008,Porter Jr.,M. Porter Jr.,0,0,0,,0,0,2,2,h,Porter Jr. REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,9
22200768,15,PT10M50.00S,1,1610612743,DEN,1629008,Porter Jr.,M. Porter Jr.,-39,13,4,Made,1,2,2,4,h,Porter Jr. 4' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,1,2,10
